AREA_KM2,CD_MUN,SIGLA,time,NM_MUN,t2m,t2m_min,t2m_max
312.353,2304400,CE,1/1/01,Fortaleza,27.4058,25.67727,29.6535
312.353,2304400,CE,1/2/01,Fortaleza,27.10436,25.3693,29.28692
312.353,2304400,CE,1/3/01,Fortaleza,26.80898,25.67977,28.2545
312.353,2304400,CE,1/4/01,Fortaleza,26.34,24.3656,27.2396
312.353,2304400,CE,1/5/01,Fortaleza,27.24993,25.16232,30.47515
312.353,2304400,CE,1/6/01,Fortaleza,27.17202,25.3768,28.7919
312.353,2304400,CE,1/7/01,Fortaleza,26.81838,25.46282,28.21337
312.353,2304400,CE,1/8/01,Fortaleza,27.2743,25.87676,30.0612
312.353,2304400,CE,1/9/01,Fortaleza,27.4053,25.69723,29.96395
312.353,2304400,CE,1/10/01,Fortaleza,26.78848,24.63116,29.1111
312.353,2304400,CE,1/11/01,Fortaleza,27.15716,25.55633,29.2333
312.353,2304400,CE,1/12/01,Fortaleza,25.5888,24.09252,26.67352
312.353,2304400,CE,1/13/01,Fortaleza,25.1705,23.56136,27.41662
312.353,2304400,CE,1/14/01,Fortaleza,26.29186,24.72717,28.99764
312.353,2304400,CE,1/15/01,Fortaleza,26.419,24.7122,28.21337
312.353,2304400,CE,1/16/01,Fortaleza,26.63745,24.3207,28.70587
312.353,2304400,CE,1/17/01,Fortaleza,27.23324,25.10995,29.9951
312.353,2304400,CE,1/18/01,Fortaleza,27.20422,25.04513,29.5899
312.353,2304400,CE,1/19/01,Fortaleza,27.07946,25.22216,28.95275
312.353,2304400,CE,1/20/01,Fortaleza,26.87554,25.22592,29.61108
312.353,2304400,CE,1/21/01,Fortaleza,26.73803,24.84313,28.23458
312.353,2304400,CE,1/22/01,Fortaleza,26.45635,23.97033,28.57745
312.353,2304400,CE,1/23/01,Fortaleza,26.3943,24.23342,28.86297
312.353,2304400,CE,1/24/01,Fortaleza,27.46728,25.51766,29.97268
312.353,2304400,CE,1/25/01,Fortaleza,27.24612,25.5077,28.98144
312.353,2304400,CE,1/26/01,Fortaleza,27.5554,25.88302,29.83053
312.353,2304400,CE,1/27/01,Fortaleza,27.52282,25.59374,29.87917
312.353,2304400,CE,1/28/01,Fortaleza,27.4256,25.54012,30.05746
312.353,2304400,CE,1/29/01,Fortaleza,27.4251,25.7496,29.56744
312.353,2304400,CE,1/30/01,Fortaleza,27.5084,25.691,30.04748
312.353,2304400,CE,1/31/01,Fortaleza,26.8858,25.3905,28.15975
312.353,2304400,CE,2/1/01,Fortaleza,26.87255,24.9915,28.86923
312.353,2304400,CE,2/2/01,Fortaleza,27.13513,24.75836,29.50137
312.353,2304400,CE,2/3/01,Fortaleza,26.93942,24.32443,29.27444
312.353,2304400,CE,2/4/01,Fortaleza,27.15118,24.32818,29.80062
312.353,2304400,CE,2/5/01,Fortaleza,27.44268,25.32318,30.48016
312.353,2304400,CE,2/6/01,Fortaleza,27.78137,25.63363,30.5699
312.353,2304400,CE,2/7/01,Fortaleza,27.69473,25.80694,30.75695
